title,Publish Time,Mission,Methods,Object,link
The RAdial Velocity Experiment (RAVE): Parameterisation of RAVE spectra based on convolutional neural networks,2020-12-1,Prediction-Regression,CNN:Conv1D,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2020A&A...644A.168G
HOLISMOKES. II. Identifying galaxy-scale strong gravitational lenses in Pan-STARRS using convolutional neural networks,2020-12-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2020A&A...644A.163C
Mimicking spectropolarimetric inversions using convolutional neural networks,2020-12-1,Simulation,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2020A&A...644A.129M
Towards a consistent framework of comparing galaxy mergers in observations and simulations,2020-12-1,Object Detection,CNN:VGG,Galaxies,https://ui.adsabs.harvard.edu/abs/2020A&A...644A..87W
The Northern Extragalactic WISE \texttimes Pan-STARRS (NEWS) catalogue. Machine-learning identification of 40 million extragalactic objects,2020-12-1,Object Classification,AE,Galaxies,https://ui.adsabs.harvard.edu/abs/2020A&A...644A..69K
Solar image deconvolution by generative adversarial network,2020-11-1,Data Reconstruction,GAN,Solar,https://ui.adsabs.harvard.edu/abs/2020RAA....20..170X
Gravitational-wave parameter estimation with autoregressive neural network flows,2020-11-1,Statistical Inference,Flow:Normalizing Flow,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102j4057G
Parameter estimation for the cosmic microwave background with Bayesian neural networks,2020-11-1,Statistical Inference,BNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102j3509H
Gravitational-wave selection effects using neural-network classifiers,2020-11-1,Object Classification,NN:MLP,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102j3020G
Deep learning black hole metrics from shear viscosity,2020-11-1,Prediction-Regression,NN:MLP,Black Hole,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102j1902Y
Stellar masses of giant clumps in CANDELS and simulated galaxies using machine learning,2020-11-1,Object Detection,Unet,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..814H
Measuring the spectral index of turbulent gas with deep learning from projected density maps,2020-11-1,Prediction-Regression,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.5798T
A deep learning view of the census of galaxy clusters in IllustrisTNG,2020-11-1,Object Classification,CNN:ResNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.5620S
Assessing the performance of LTE and NLTE synthetic stellar spectra in a machine learning framework,2020-11-1,Prediction-Regression,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3817B
Self-supervised learning with physics-aware neural networks - I. Galaxy model fitting,2020-11-1,Prediction-Regression,AE:Conv,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3713A
Machine-learning Approach to Identification of Coronal Holes in Solar Disk Images and Synoptic Maps,2020-11-1,Image Segmentation,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...903..115I
Full-sky Cosmic Microwave Background Foreground Cleaning Using Machine Learning,2020-11-1,Data Processing,Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2020ApJ...903..104P
Deep Modeling of Quasar Variability,2020-11-1,Prediction,AE,Quasars,https://ui.adsabs.harvard.edu/abs/2020ApJ...903...54T
Application and Interpretation of Deep Learning for Identifying Pre-emergence Magnetic Field Patterns,2020-11-1,Object Classification,CNN:VGG,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...903...27D
Flare Statistics for Young Stars from a Convolutional Neural Network Analysis of TESS Data,2020-11-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2020AJ....160..219F
The search for galaxy cluster members with deep learning of panchromatic HST imaging and extensive spectroscopy,2020-11-1,Object Detection,CNN:VGG,Galaxies,https://ui.adsabs.harvard.edu/abs/2020A&A...643A.177A
Shear measurement bias. II. A fast machine-learning calibration method,2020-11-1,Prediction-Regression,NN:MLP,Cosmology,https://ui.adsabs.harvard.edu/abs/2020A&A...643A.158P
Active deep learning method for the discovery of objects of interest in large spectroscopic surveys\ensuremath\star,2020-11-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2020A&A...643A.122S
Image-quality assessment for full-disk solar observations with generative adversarial networks,2020-11-1,Anomaly Detection,AE,Solar,https://ui.adsabs.harvard.edu/abs/2020A&A...643A..72J
Robust machine learning algorithm to search for continuous gravitational waves,2020-10-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102h3024B
Kraken reveals itself - the merger history of the Milky Way reconstructed with the E-MOSAICS simulations,2020-10-1,Prediction-Regression,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2472K
A new way to constrain the densities of intragroup medium in groups of galaxies with convolutional neural networks,2020-10-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.5090S
On Neural Architectures for Astronomical Time-series Classification with Application to Variable Stars,2020-10-1,Object Classification,LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2020ApJS..250...30J
Teaching Neural Networks to Generate Fast Sunyaev-Zel'dovich Maps,2020-10-1,Prediction-Regression,Unet,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...902..129T
Machine-learning Prediction of Infrared Spectra of Interstellar Polycyclic Aromatic Hydrocarbons,2020-10-1,Prediction-Regression,NN:MLP,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2020ApJ...902..100K
A New Approach for the Regression of the Center Coordinates and Radius of the Solar Disk Using a Deep Convolutional Neural Network,2020-10-1,Prediction-Regression,CNN:VGG,Solar,https://ui.adsabs.harvard.edu/abs/2020ApJ...902...72Z
A Machine-learning Approach to Integral Field Unit Spectroscopy Observations. I. H ii Region Kinematics,2020-10-1,Prediction-Regression,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2020ApJ...901..152R
Modeling protoplanetary disk SEDs with artificial neural networks. Revisiting the viscous disk model and updated disk masses,2020-10-1,Prediction-Regression,NN:MLP,Planet,https://ui.adsabs.harvard.edu/abs/2020A&A...642A.171R
Neural network reconstruction of the dense matter equation of state derived from the parameters of neutron stars,2020-10-1,Prediction-Regression,AE,Stars,https://ui.adsabs.harvard.edu/abs/2020A&A...642A..78M
The CARMENES search for exoplanets around M dwarfs. A deep learning approach to determine fundamental parameters of target stars,2020-10-1,Prediction-Regression,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2020A&A...642A..22P
Accurate emulator for the redshift-space power spectrum of dark matter halos and its application to galaxy power spectrum,2020-9-1,Prediction-Regression,NN:MLP,Cosmology,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102f3504K
Detection of gravitational-wave signals from binary neutron star mergers using machine learning,2020-9-1,Object Detection,CNN:InceptionNet,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2020PhRvD.102f3015S
Determination of the relative inclination and the viewing angle of an interacting pair of galaxies using Convolutional Neural Networks,2020-9-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3323P
Computational tools for the spectroscopic analysis of white dwarfs,2020-9-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.2688C
Vetting the optical transient candidates detected by the GWAC network using convolutional neural networks,2020-9-1,Object Classification,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.2641T
FETCH: A deep-learning based classifier for fast transient classification,2020-9-1,Object Classification,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1661A
Deep learning for strong lensing search: tests of the convolutional neural networks and new candidates from KiDS DR3,2020-9-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..556H
