title,Publish Time,Mission,Methods,Object,link
Physics-informed neural networks in the recreation of hydrodynamic simulations from dark matter,2024-1-1,Simulation,PINNS,Dark Matter,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3381D
CAvity DEtection Tool (CADET): pipeline for detection of X-ray cavities in hot galactic and cluster atmospheres,2024-1-1,Object Detection,CNN:InceptionNet,AGN,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3315P
Bayesian gravitational wave parameter estimation using convolutional neural networks,2024-1-1,Statistical Inference,CNN:Conv1D,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2887A
Inclination angles for Be stars determined using machine learning,2024-1-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2585L
Modelling solar coronal magnetic fields with physics-informed neural networks,2024-1-1,Simulation,PINNS,Solar,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2575B
deep PACO: combining statistical models with deep learning for exoplanet detection and characterization in direct imaging at high contrast,2024-1-1,Object Detection,CNN:ResUnet,Planet,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1534F
Galaxy spectral classification and feature analysis based on convolutional neural network,2024-1-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1163W
Inferring warm dark matter masses with deep learning,2024-1-1,Statistical Inference,CNN,Dark Matter,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..739R
CNN photometric redshifts in the SDSS at r \ensuremath\leq 20,2024-1-1,Prediction,CNN:InceptionNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..651T
The effect of the perturber population on subhalo measurements in strong gravitational lenses,2024-1-1,Statistical Inference,NN:MLP,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527...66C
Fault Diagnosis of the LAMOST Fiber Positioner Based on a Long Short-term Memory (LSTM) Deep Neural Network,2023-12-1,Anomaly Detection,LSTM,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023RAA....23l5006T
From images to features: unbiased morphology classification via variational auto-encoders and domain adaptation,2023-12-1,Object Classification,VAE,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.6391X
In situ or accreted? Using deep learning to infer the origin of extragalactic globular clusters from observables,2023-12-1,Object Classification,NN:MLP,Star Clusters,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.5735T
Emulating radiative transfer with artificial neural networks,2023-12-1,Simulation,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.4520S
The BarYon Cycle project (ByCycle): identifying and localizing Mg II metal absorbers with machine learning,2023-12-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.3744S
Star cluster classification using deep transfer learning with PHANGS-HST,2023-12-1,Object Classification,CNN:VGG,Star Clusters,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.2991H
"CzSL: Learning from citizen science, experts, and unlabelled data in astronomical Object Classification",2023-12-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1742J
Fast Gravitational-wave Parameter Estimation without Compromises,2023-12-1,Prediction,Flow:Normalizing Flow,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023ApJ...958..129W
Red Giants Search Method Based on Convolutional Neural Networks,2023-12-1,Object Detection,CNN:ResNet,Stars,https://ui.adsabs.harvard.edu/abs/2023AJ....166..244Y
PNet-A Deep Learning Based Photometry and Astrometry Bayesian Framework,2023-12-1,Data Processing,CNN+BNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..235S
Detecting H I Galaxies with Deep Neural Networks in the Presence of Radio Frequency Interference,2023-11-1,Image Segmentation,CNN:RCNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023RAA....23k5006L
Stellar Karaoke: deep blind separation of terrestrial atmospheric effects out of stellar spectra by velocity whitening,2023-11-1,Image Segmentation,VAE,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1559S
Solving the pulsar equation using physics-informed neural networks,2023-11-1,Simulation,PINNS,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1504S
"Detection, instance segmentation, and classification for astronomical surveys with deep learning (DEEPDISC): DETECTRON2 implementation and demonstration with Hyper Suprime-Cam data",2023-11-1,Data Processing,Transformer,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1122M
Determining the dark matter distribution in simulated galaxies with deep learning,2023-11-1,Prediction,CNN,Dark Matter,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.6015D
Asteroseismology of \ensuremath\delta Scuti stars: emulating model grids using a neural network,2023-11-1,Simulation,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.5789K
Fundamental parameters of 318 contact binaries from the TESS survey,2023-11-1,Prediction,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4596D
A neural network emulator for the Lyman-\ensuremath\alpha forest 1D flux power spectrum,2023-11-1,Prediction-Regression,NN:MDN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3499C
Machine-learning Inferences of the Interior Structure of Rocky Exoplanets from Bulk Observational Constraints,2023-11-1,Statistical Inference,NN:MDN,Planet,https://ui.adsabs.harvard.edu/abs/2023ApJS..269....1Z
Characterizing the Atmospheric Dynamics of HD 209458b-like Hot Jupiters Using AI-driven Image Recognition/Categorization,2023-11-1,Object Classification,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...68S
Inferring Coupling Strengths of Mixed-mode Oscillations in Red Giant Stars Using Deep Learning,2023-11-1,Prediction-Regression,CNN:CNN+LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...63D
Reconstructing Ly\ensuremath\alpha Fields from Low-resolution Hydrodynamical Simulations with Deep Learning,2023-11-1,Data Reconstruction,GAN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...21J
Star Photometry for DECam Legacy Survey and Sloan Digital Sky Survey Images Based on Convolutional Neural Networks,2023-11-1,Prediction-Regression,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..210Y
Accelerating galaxy dynamical modeling using a neural network for joint lensing and kinematic analyses,2023-11-1,Simulation,NN:MLP,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023A&A...679A..59G
CHEX-MATE: A non-parametric deep learning technique to deproject and deconvolve galaxy cluster X-ray temperature profiles,2023-11-1,Data Reconstruction,AE,Galaxies,https://ui.adsabs.harvard.edu/abs/2023A&A...679A..51I
Characterizing the temporal evolution of the high-frequency gravitational wave emission for a core collapse supernova with laser interferometric data: A neural network approach,2023-10-1,Prediction-Regression,NN:MLP,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108h4027C
NAUTILUS: boosting Bayesian importance nested sampling with deep learning,2023-10-1,Statistical Inference,NN:MLP,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3181L
On the impact of the galaxy window function on cosmological parameter estimation,2023-10-1,Prediction-Regression,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..311K
Optimizing machine learning methods to discover strong gravitational lenses in the deep lens survey,2023-10-1,Object Detection,CNN:ResNet,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5368K
Depthwise convolutional neural network for multiband automatic quasars classification in ATLAS,2023-10-1,Object Classification,CNN,Quasars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5080S
Toward Model Compression for a Deep Learning-Based Solar Flare Forecast on Satellites,2023-10-1,Model Compression,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJS..268...59F
A Universal Equation to Predict \ensuremath\Omega$_m$ from Halo and Galaxy Catalogs,2023-10-1,Statistical Inference,GNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...956..149S
Probabilistic Solar Flare Forecasting Using Historical Magnetogram Data,2023-10-1,Prediction,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..148V
Machine-learning Cosmology from Void Properties,2023-10-1,Statistical Inference,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..131W
CMR Exploration. II. Filament Identification with Machine Learning,2023-10-1,Object Detection,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..113X
Alert Classification for the ALeRCE Broker System: The Anomaly Detector,2023-10-1,Anomaly Detection,NN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..151P
Neural network-based emulation of interstellar medium models,2023-10-1,Simulation,NN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023A&A...678A.198P
Scope and limitations of ad hoc neural network reconstructions of solar wind parameters,2023-10-1,Data Reconstruction,NN,Solar,https://ui.adsabs.harvard.edu/abs/2023A&A...678A..64H
Nonparametric analysis of the Hubble diagram with neural networks,2023-10-1,Prediction-Regression,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023A&A...678A..13G
Model-independent measurement of cosmic curvature with the latest H (z ) and SNe Ia data: A comprehensive investigation,2023-9-1,Data Reconstruction,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3522Q
Realizing the potential of deep neural network for analyzing neutron star observables and dense matter equation of state,2023-9-1,Prediction,NN,Stars,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3028T
Novel neural-network architecture for continuous gravitational waves,2023-9-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3021J
Trigger-level event reconstruction for neutrino telescopes using sparse submanifold convolutional neural networks,2023-9-1,Data Reconstruction,CNN:SSCNNs,High Energy: Neutrinos,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3017Y
Not hydro: using neural networks to estimate galaxy properties on a dark-matter-only simulation,2023-9-1,Prediction-Regression,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.4653H
Restoration of T80-S telescope's images using neural networks,2023-9-1,Image Restoration,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.3068B
The BACCO simulation project: biased tracers in real space,2023-9-1,Simulation,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.2407Z
Halo assembly bias from a deep learning model of halo formation,2023-9-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.1746L
Large-step neural network for learning the symplectic evolution from partitioned data,2023-9-1,Simulation,NN:LSNN,Planet,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.1374L
The VVV near-IR galaxy catalogue in a Northern part of the Galactic disc,2023-9-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524..678D
Using a neural network approach to accelerate disequilibrium chemistry calculations in exoplanet atmospheres,2023-9-1,Prediction-Regression,LSTM,Planet,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524..643H
Modelling force-free neutron star magnetospheres using physics-informed neural networks,2023-9-1,Simulation,PINNS,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524...32U
PSF-based Analysis for Detecting Unresolved Wide Binaries,2023-9-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJS..268...37W
A White Dwarf Search Model Based on a Deep Transfer-learning Method,2023-9-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJS..268...28T
CoLFI: Cosmological Likelihood-free Inference with Neural Density Estimators,2023-9-1,Statistical Inference,NN:MDN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJS..268....7W
Photo-zSNthesis: Converting Type Ia Supernova Lightcurves to Redshift Estimates via Deep Learning,2023-9-1,Prediction-Regression,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...954..201Q
Physics-driven Machine Learning for the Prediction of Coronal Mass Ejections' Travel Times,2023-9-1,Prediction-Regression,NN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...954..151G
Target Selection and Sample Characterization for the DESI LOW-Z Secondary Target Program,2023-9-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023ApJ...954..149D
As Simple as Possible but No Simpler: Optimizing the Performance of Neural Net Emulators for Galaxy SED Fitting,2023-9-1,Prediction-Regression,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023ApJ...954..132M
MFPIM: A Deep Learning Model Based on Multimodal Fusion Technology for Pulsar Identification,2023-9-1,Object Detection,CNN:Attension,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...954...86L
Identification of Galaxy-Galaxy Strong Lens Candidates in the DECam Local Volume Exploration Survey Using Machine Learning,2023-9-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023ApJ...954...68Z
Constraining Cosmology with Machine Learning and Galaxy Clustering: The CAMELS-SAM Suite,2023-9-1,Simulation,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...954...11P
First Impressions: Early-time Classification of Supernovae Using Host-galaxy Information and Shallow Learning,2023-9-1,Object Classification,RNN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...954....6G
What's the Difference? The Potential for Convolutional Neural Networks for Transient Detection without Template Subtraction,2023-9-1,Object Detection,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2023AJ....166..115A
Directly Deriving Parameters from SDSS Photometric Images,2023-9-1,Statistical Inference,CNN:ConViT,Stars,https://ui.adsabs.harvard.edu/abs/2023AJ....166...88W
Deep-learning-based radiointerferometric imaging with GAN-aided training,2023-9-1,Generation,GAN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023A&A...677A.167G
Deep learning denoising by dimension reduction: Application to the ORION-B line cubes,2023-9-1,Denoising,AE,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023A&A...677A.158E
A deep learning approach for automated segmentation of magnetic bright points in the solar photosphere,2023-9-1,Image Segmentation,CNN:TransCNN,Solar,https://ui.adsabs.harvard.edu/abs/2023A&A...677A.121Y
TAU: A neural network based telluric correction framework,2023-9-1,Data Processing,AE,Planet,https://ui.adsabs.harvard.edu/abs/2023A&A...677A.120K
YOLO-CL: Galaxy cluster detection in the SDSS with deep machine learning,2023-9-1,Object Detection,CNN:YOLO,Galaxies,https://ui.adsabs.harvard.edu/abs/2023A&A...677A.101G
ExoplANNET: A deep learning algorithm to detect and identify planetary signals in radial velocity data,2023-9-1,Object Detection,NN,Planet,https://ui.adsabs.harvard.edu/abs/2023A&A...677A..48N
Understanding of the properties of neural network approaches for transient light curve approximations,2023-9-1,Simulation,Cosmology,Stars,https://ui.adsabs.harvard.edu/abs/2023A&A...677A..16D
Attention-Based Deep Learning Model for Image Desaturation of SDO/AIA,2023-8-1,Image Restoration,CNN:AANet,Solar,https://ui.adsabs.harvard.edu/abs/2023RAA....23h5004Z
Probing cosmological particle production and pairwise hotspots with deep neural networks,2023-8-1,Object Detection,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3525K
Decoding neutron star observations: Revealing composition through Bayesian neural networks,2023-8-1,Statistical Inference,BNN,Stars,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3031C
Detecting and denoising gravitational wave signals from binary black holes using deep learning,2023-8-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3024M
Effective cosmic density field reconstruction with convolutional neural network,2023-8-1,Data Reconstruction,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.6272C
DenseLens - Using DenseNet ensembles and information criteria for finding and rank-ordering strong gravitational lenses,2023-8-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.4188N
Hybrid deep learning for blazar classification and correlation search with neutrinos,2023-8-1,Object Classification,CNN,AGN,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.4120D
Galaxy clustering from the bottom up: a streaming model emulator I,2023-8-1,Simulation,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3219C
Three-day Forecasting of Solar Wind Speed Using SDO/AIA Extreme-ultraviolet Images by a Deep-learning Model,2023-8-1,Prediction,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJS..267...45S
Searching for Galactic H II Regions from the LAMOST Database Based on the Multihead WDCNN Model,2023-8-1,Object Detection,CNN:WDCNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023ApJS..267...39W
Hierarchical Inference of the Lensing Convergence from Photometric Catalogs with Bayesian Graph Neural Networks,2023-8-1,Statistical Inference,GNN:BGNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023ApJ...953..178P
Field-level Neural Network Emulator for Cosmological N-body Simulations,2023-8-1,Simulation,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...952..145J
Prediction Capability of Geomagnetic Events from Solar Wind Data Using Neural Networks,2023-8-1,Prediction,CNN:CRNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...952..111T
Autoencoding Galaxy Spectra. I. Architecture,2023-8-1,Data Processing,AE:Conv,Galaxies,https://ui.adsabs.harvard.edu/abs/2023AJ....166...74M
Searching for strong galaxy-scale lenses in galaxy clusters with deep networks. I. Methodology and network performance,2023-8-1,Object Detection,CNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023A&A...676A..40A
Inference of the optical depth to reionization \ensuremath\tau from Planck CMB maps with convolutional neural networks,2023-8-1,Statistical Inference,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023A&A...676A..30W
Identifying Host Galaxies of Extragalactic Radio Emission Structures using Machine Learning,2023-7-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023RAA....23g5012L
Map Reconstruction of Radio Observations with Conditional Invertible Neural Networks,2023-7-1,Data Reconstruction,CNN:cINN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023RAA....23g5011Z
Convolutional neural network search for long-duration transient gravitational waves from glitching pulsars,2023-7-1,Object Detection,CNN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108b3005M
Predictions of solar activity cycles 25 and 26 using non-linear autoregressive exogenous neural networks,2023-7-1,Prediction-Regression,NN:NARX,Solar,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.1175K
A statistical analysis of the structure of the interstellar medium in the disc of the Milky Way,2023-7-1,Statistical Inference,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..233B
Rapid determination of LISA sensitivity to extreme mass ratio inspirals with machine learning,2023-7-1,Prediction,NN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.6043C
Scalable precision wide-field imaging in radio interferometry - II. AIRI validated on ASKAP data,2023-7-1,Denoising,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5576W
LEMON: LEns MOdelling with Neural networks - I. Automated modelling of strong gravitational lenses with Bayesian Neural Networks,2023-7-1,Statistical Inference,BNN,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5442G
Large-scale density and velocity field reconstructions with neural networks,2023-7-1,Data Reconstruction,AE,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5291G
AI-assisted reconstruction of cosmic velocity field from redshift-space spatial distribution of haloes,2023-7-1,Data Reconstruction,Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.4748W
High-fidelity reproduction of central galaxy joint distributions with neural networks,2023-7-1,Statistical Inference,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3236R
Distinguishing a planetary transit from false positives: a Transformer-based classification for planetary transit signals,2023-7-1,Object Classification,Transformer,Planet,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3201S
Delensing of Cosmic Microwave Background Polarization with Machine Learning,2023-7-1,Data Reconstruction,Unet:MIMO-Unet,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJS..267....2Y
Robust Field-level Likelihood-free Inference with Galaxies,2023-7-1,Statistical Inference,GNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023ApJ...952...69D
Lensing Reconstruction from the Cosmic Microwave Background Polarization with Machine Learning,2023-7-1,Data Reconstruction,Unet:RDLFUnet,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...952...15Y
Pixelated Reconstruction of Foreground Density and Background Surface Brightness in Gravitational Lensing Systems Using Recurrent Inference Machines,2023-7-1,Data Reconstruction,NN:RIM,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023ApJ...951....6A
Multiplicity Boost of Transit Signal Classifiers: Validation of 69 New Exoplanets using the Multiplicity Boost of ExoMiner,2023-7-1,Data Processing,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2023AJ....166...28V
iNNterpol: High-precision interpolation of stellar atmospheres with a deep neural network using a 1D convolutional auto encoder for feature extraction,2023-7-1,Prediction-Regression,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023A&A...675A.191W
Modeling lens potentials with continuous neural fields in galaxy-scale strong lenses,2023-7-1,Prediction,NN:continuous neural fields,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023A&A...675A.125B
Deep learning-based deconvolution for interferometric radio transient reconstruction,2023-7-1,Data Reconstruction,CNN,Transient,https://ui.adsabs.harvard.edu/abs/2023A&A...675A.116C
(433) Eros and (25143) Itokawa surface properties from reflectance spectra,2023-7-1,Object Classification,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2023A&A...675A..50K
Precise masses and ages of  1 million RGB and RC stars observed by LAMOST,2023-7-1,Prediction-Regression,NN,Stars,https://ui.adsabs.harvard.edu/abs/2023A&A...675A..26W
Extraction and Analysis of Coronal High-temperature Components Based on Outlier Detection,2023-6-1,Anomaly Detection,NN,Solar,https://ui.adsabs.harvard.edu/abs/2023RAA....23f5013S
Analysis of dark matter halo structure formation in N -body simulations with machine learning,2023-6-1,Object Classification,NN,Dark Matter,https://ui.adsabs.harvard.edu/abs/2023PhRvD.107l3515C
Galaxy image deconvolution for weak gravitational lensing with unrolled plug-and-play ADMM,2023-6-1,Data Reconstruction,NN:ADMM-Net,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522L..31L
Predicting light curves of RR Lyrae variables using artificial neural network based interpolation of a grid of pulsation models,2023-6-1,Prediction-Regression,NN,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.1504K
Feature guided training and rotational standardization for the morphological classification of radio galaxies,2023-6-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.522..292B
Multiclass solar flare forecasting models with different deep learning algorithms,2023-6-1,Prediction,LSTM:HBiLSTM-Attention,Solar,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.5384Z
Generating Space-based SDO/HMI-like Solar Magnetograms from Ground-based H\ensuremath\alpha Images by Deep Learning,2023-6-1,Generation,GAN:cGAN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJS..266...19G
Searching for Double-line Spectroscopic Binaries in the LAMOST Medium-resolution Spectroscopic Survey with Deep Learning,2023-6-1,Object Detection,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJS..266...18Z
Nonparametric Model for the Equations of State of a Neutron Star from Deep Neural Network,2023-6-1,Statistical Inference,NN,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...950..186Z
Denoising Diffusion Probabilistic Models to Predict the Density of Molecular Clouds,2023-6-1,Generation,Diffusion,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023ApJ...950..146X
Surrogate Forward Models for Population Inference on Compact Binary Mergers,2023-6-1,Statistical Inference,NN,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023ApJ...950...80R
Nonparametric Representation of Neutron Star Equation of State Using Variational Autoencoder,2023-6-1,Generation,VAE,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...950...77H
Learning Neutrino Effects in Cosmology with Convolutional Neural Network,2023-6-1,Generation,CNN:D3M,High Energy: Neutrinos,https://ui.adsabs.harvard.edu/abs/2023ApJ...950...70G
Improved Tomographic Binning of 3 \texttimes 2 pt Lens Samples: Neural Network Classifiers and Optimal Bin Assignments,2023-6-1,Data Processing,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...950...49M
Prompt Detection of Fast Optical Bursts with the Vera C. Rubin Observatory,2023-6-1,Object Detection,NN,Transient,https://ui.adsabs.harvard.edu/abs/2023ApJ...950...21M
A Machine Learning-Based Approach to Time-series Wave Identification in the Solar Wind,2023-6-1,Object Classification,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...949...40F
Observation Strategy Optimization for Distributed Telescope Arrays with Deep Reinforcement Learning,2023-6-1,Optimization,NN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....165..233J
Spectral classification of young stars using conditional invertible neural networks. I. Introducing and validating the method,2023-6-1,Object Classification,CNN:cINN,Stars,https://ui.adsabs.harvard.edu/abs/2023A&A...674A.175K
Challenging interferometric imaging: Machine learning-based source localization from uv-plane observations,2023-6-1,Data Processing,NN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023A&A...674A.161T
Cascaded Temporal and Spatial Attention Network for solar adaptive optics image restoration,2023-6-1,Image Restoration,Transformer:CTSAN ,Solar,https://ui.adsabs.harvard.edu/abs/2023A&A...674A.126Z
Joint machine learning and analytic track reconstruction for X-ray polarimetry with gas pixel detectors,2023-6-1,Prediction,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023A&A...674A.107C
Weighing the Milky Way and Andromeda galaxies with artificial intelligence,2023-5-1,Statistical Inference,GNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023PhRvD.107j3003V
Identification of tidal features in deep optical galaxy images with convolutional neural networks,2023-5-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.3861D
Estimating dynamical parameters of two interacting galaxies using deep learning,2023-5-1,Prediction-Regression,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.3441M
Cosmological constraints from HSC survey first-year data using deep learning,2023-5-1,Statistical Inference,CNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.2050L
Revealing the Milky Way's most recent major merger with a Gaia EDR3 catalogue of machine-learned line-of-sight velocities,2023-5-1,Prediction-Regression,NN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.1633D
Pan-chromatic photometric classification of supernovae from multiple surveys and transfer learning for future surveys,2023-5-1,Object Classification,CNN,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.1601B
PINION: physics-informed neural network for accelerating radiative transfer simulations for cosmic reionization,2023-5-1,Simulation,PINNS,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.521..902K
Machine Learning Applied to X-Ray Spectra: Separating Stars in Orion Nebula Cluster from Active Galactic Nuclei in CDFS,2023-5-1,Object Classification,NN,AGN,https://ui.adsabs.harvard.edu/abs/2023ApJ...949...12H
"Improving the Arrival Time Estimates of Coronal Mass Ejections by Using Magnetohydrodynamic Ensemble Modeling, Heliospheric Imager Data, and Machine Learning",2023-5-1,Prediction-Regression,NN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...948...78S
"Harnessing the Hubble Space Telescope Archives: A Catalog of 21,926 Interacting Galaxies",2023-5-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023ApJ...948...40O
